Droped,Coralation,Linear Regression,Ridge,Lasso,Logistic Regression,KNeighbors Classifier,SVC_Linear,SVC_Rbf,SVC_Poly,Decision Tree,Random Forest,Time
Temperature (K),0.9758924349768133,0.5095113910722169,0.509933051302617,0.4569183140767744,0.5333333333333333,0.6,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.8666666666666667,0.8333333333333334,565
Luminosity(L/Lo),1.3136189014260116,0.5623944775015006,0.5636998962930955,0.45777448430782985,0.3,0.7,0.3333333333333333,0.6333333333333333,0.6333333333333333,0.7666666666666667,0.8666666666666667,431
Radius(R/Ro),0.644445827334223,0.5250101647965215,0.5249476103712392,0.4438955181636739,0.3,0.7,0.26666666666666666,0.5,0.5,0.8,0.8666666666666667,459
Absolute magnitude(Mv),-3.110556724964831,0.48816261518015425,0.488309554964539,0.4432002910024154,0.3333333333333333,0.7,0.26666666666666666,0.5,0.5,0.8666666666666667,0.8,453
Star type,1.2708388429965989,0.49426894375614927,0.49403806423173546,0.4152877695619922,0.3333333333333333,0.7,0.0,0.5,0.5,0.8,0.8,448
Spectral Class,0.9818368950234468,0.29298309314056814,0.2934259871231696,0.19188481039004446,0.3333333333333333,0.7,0.26666666666666666,0.5,0.5,0.7,0.7666666666666667,452
